Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A hybrid framework for notebook market analysis: Integrating social media sentiment mining with expert knowledge for feature prioritization","The hybrid framework combines social media sentiment analysis with expert knowledge to prioritize features in notebooks, revealing key purchase factors and brand-specific market positioning strategies.","Mehrdad Maghsoudi, Mohammadreza Bakhtiari, Hamidreza Bakhtiari",2026,0,"The increasing complexity of consumer preferences in the notebook market requires advanced methodologies to effectively analyze user sentiments and prioritize product features for strategic decision-making. Traditional market research methods often fail to capture real-time, spontaneous consumer feedback while lacking integration with expert knowledge of actual purchasing behavior. This study introduces a novel hybrid framework that systematically combines aspect-based sentiment analysis (ABSA) of social media data with expert evaluations to bridge the gap between expressed consumer preferences and actual purchase drivers. The methodology analyzes 329,091 Twitter posts from January 2023 to June 2024, covering seven major notebook brands. Using the PyABSA framework, consumer sentiments toward 16 key notebook attributes are extracted and analyzed. Expert evaluations, conducted through fuzzy logic defuzzification, assign importance weights based on observed purchasing patterns, with features subsequently ranked using the TOPSIS multi-criteria decision-making method. Findings reveal that price, display quality, CPU performance, RAM capacity, and design constitute the most influential factors in notebook purchasing decisions. Negative sentiments concentrate on cooling systems, battery chargers, and warranty services, indicating critical improvement areas. Brand-specific analysis demonstrates that display quality ranks highest for Lenovo, while price dominates concerns for Dell, HP, and Microsoft, validating distinct market positioning strategies. By integrating machine learning-based sentiment analysis with structured expert knowledge, this research provides manufacturers with a quantifiable, actionable framework for optimizing product development and marketing strategies. The methodology enables companies to prioritize genuinely purchase-influencing features while addressing critical pain points, enhancing competitive positioning in dynamic markets. Future research should expand to cross-cultural consumer behavior analysis and real-time sentiment tracking systems.

Copyright: © 2026 Maghsoudi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","other","PLOS One","1","10.1371/journal.pone.0342067","https://consensus.app/papers/a-hybrid-framework-for-notebook-market-analysis-maghsoudi-bakhtiari/3712fedc1da850278e4cb33d2cfae001/"
"A study on the influence of online reviews of new products on consumers’ purchase decisions: An empirical study on JD.com","Online reviews influence consumer purchase decisions, but the impact varies across different consumer focus factors and the interaction between review features is complex.","Minjung Kang, Bing Sun, Tian Liang, Hongying Mao",2022,38,"With the prevalence of the Internet and new media channels, consumer reviews have become one of the main determinants of Consumers’ purchasing decisions. This paper uses the Latent Dirichlet Allocation (LDA) model to identify the key factors that are of major concern to consumers, including design factors, laptop setup factors, logistics factors, after-sales factors, and user experience factors. And, we classify these factors into product quality factors and supporting service factors for new products. We then explore the relationship between online reviews and purchase decisions under these different factors, and also further explore the impact of interactions between online review metrics on purchase decisions. Our findings suggest that the impact of online reviews on consumer purchase decisions also varies considerably across different consumer focus factors. In addition, we find that the impact of the interaction between online review features is complex. In particular, consumers do not follow the positive guidance and make purchase decisions as we would expect when confronted with a large number of positive emotional polarity online reviews. Meanwhile, the interaction between negative emotional polarity and variance of online reviews had no significant effect on consumer purchase decisions. The variance of online reviews has a limited role in reducing consumer risk perceptions triggered by negative emotional polarity. Our study provides new evidence for the study of the impact of online reviews through text mining.","cross-sectional study","Frontiers in Psychology","2","10.3389/fpsyg.2022.983060","https://consensus.app/papers/a-study-on-the-influence-of-online-reviews-of-new-products-on-kang-sun/2c496929842f512b9ddc3b5a3bfd1ed0/"
"Determinants of innovative green electronics: An experimental study of eco-friendly laptop computers","Eco-friendly laptop computers with a median price, solar battery, alloy-based shell, multicore CPU, LED monitor, SSD storage device, and recycled paper keyboard are most preferred by users.","Chi-Shun Liao, Hui-Kai Chuang",2021,19,"","other","Technovation","1","10.1016/j.technovation.2021.102424","https://consensus.app/papers/determinants-of-innovative-green-electronics-an-liao-chuang/1414e8b12a425ce089b306bc479d5d04/"
"Understanding the factors influencing acceptability of AI in medical imaging domains among healthcare professionals: A scoping review","Increasing AI acceptability among medical professionals requires designing human-centered AI systems that consider accessibility, clinical workflow practices, institutional context, and healthcare professional norms.","David Hua, N. Petrina, Noel Young, Jin-Gun Cho, Simon K. Poon",2023,86,"","systematic review","Artificial intelligence in medicine","1","10.1016/j.artmed.2023.102698","https://consensus.app/papers/understanding-the-factors-influencing-acceptability-of-hua-petrina/5641146ea06859d78219d5639427d67b/"
"Research Trends in Artificial Intelligence Applications in Human Factors Health Care: Mapping Review","Human factors researchers should play a key role in designing and implementing AI systems in healthcare, focusing on user-centered design and ecological validity.","Onur Asan, Avishek Choudhury",2021,87,"Background: Despite advancements in artificial intelligence (AI) to develop prediction and classification models, little research has been devoted to real-world translations with a user-centered design approach. AI development studies in the health care context have often ignored two critical factors of ecological validity and human cognition, creating challenges at the interface with clinicians and the clinical environment.

Objective: The aim of this literature review was to investigate the contributions made by major human factors communities in health care AI applications. This review also discusses emerging research gaps, and provides future research directions to facilitate a safer and user-centered integration of AI into the clinical workflow.

Methods: We performed an extensive mapping review to capture all relevant articles published within the last 10 years in the major human factors journals and conference proceedings listed in the ""Human Factors and Ergonomics"" category of the Scopus Master List. In each published volume, we searched for studies reporting qualitative or quantitative findings in the context of AI in health care. Studies are discussed based on the key principles such as evaluating workload, usability, trust in technology, perception, and user-centered design.

Results: Forty-eight articles were included in the final review. Most of the studies emphasized user perception, the usability of AI-based devices or technologies, cognitive workload, and user's trust in AI. The review revealed a nascent but growing body of literature focusing on augmenting health care AI; however, little effort has been made to ensure ecological validity with user-centered design approaches. Moreover, few studies (n=5 against clinical/baseline standards, n=5 against clinicians) compared their AI models against a standard measure.

Conclusions: Human factors researchers should actively be part of efforts in AI design and implementation, as well as dynamic assessments of AI systems' effects on interaction, workflow, and patient outcomes. An AI system is part of a greater sociotechnical system. Investigators with human factors and ergonomics expertise are essential when defining the dynamic interaction of AI within each element, process, and result of the work system.

©Onur Asan, Avishek Choudhury. Originally published in JMIR Human Factors (https://humanfactors.jmir.org), 18.06.2021.","systematic review","JMIR Human Factors","2","10.2196/28236","https://consensus.app/papers/research-trends-in-artificial-intelligence-applications-asan-choudhury/c039208f74c2536b841e47f1a02c5edb/"
"An automated data-driven approach for product design strategies to respond to market disruption following COVID-19","Post-COVID-19, customer satisfaction for smartphone screens and cameras decreased, while laptop satisfaction increased, with battery features becoming more important in both smartphones and laptops.","Seyoung Park, Kangcheng Lin, Junegak Joung, Harrison Kim",2024,3,"
 Online reviews provide a source to identify customer needs. While many studies have analyzed online reviews during the pandemic, it's worth noting that many customer preference studies in this period were not conducted within a product design context. The societal challenges presented by the prolonged COVID-19 pandemic, spanning nearly three years, have significantly impacted all facets of the population in a manner unparalleled in recent decades. Therefore, this research delves into the post-COVID-19 landscape, examining shifts in consumer preferences for diverse product features through an analysis of online reviews. Our framework unfolds in four stages: First, it delves into customer interest in product features after data collection. Second, it analyzes customer sentiments towards these features. Third, employing interpretable machine learning techniques, it determines the significance of each feature. Fourth, it juxtaposes short-term and long-term sentiment trends alongside feature importance for comparison. In addition, Importance-Performance Analysis (IPA) and Kano models are utilized to formulate and analyze product strategies. The developed method is assessed on two real-world datasets – smartphone and laptop reviews. The results reveal that after the pandemic, customer satisfaction for the screen and camera in smartphones decreased, whereas it increased for those in laptops. In addition, the importance of battery features in smartphones and laptops has increased. These insights will aid companies in promptly formulating strategies to navigate dynamic market environments.","theoretical, modeling, or simulation study","Journal of Mechanical Design","","10.1115/1.4066684","https://consensus.app/papers/an-automated-datadriven-approach-for-product-design-park-lin/2cda3a012b655f4e812b9b32c78e4fab/"
"Global Perspectives on Laptop Features: A Sentiment Analysis of User Preferences in Developed and Developing Countries","Laptop users in developing countries express higher satisfaction, while those in developed countries have more critical views on performance-related features.","Mehrdad Maghsoudi, Mohammadreza Bakhtiari, Hamidreza Bakhtiari",2025,4,"This study examines laptop user sentiments across developed and developing countries using aspect-based sentiment analysis (ABSA) on social media data. Employing a mixed-methods approach, the research combines large-scale sentiment analysis of 1,467,535 tweets with expert insights gathered through a Delphi panel of ten industry professionals. The study analyzes user opinions on 16 key laptop features, revealing distinct preferences and pain points between users in developed and developing nations. Findings show that consumers in developing countries express higher overall satisfaction, while those in developed countries demonstrate more critical views, particularly regarding performance-related features. Universal concerns include battery life and cooling efficiency. The research identifies key priorities for each market: high performance and advanced features for developed countries, and affordability, durability, and reliability for developing nations. Based on these insights, the study proposes tailored strategies for laptop manufacturers, including differentiated product lines, universal charging solutions, and market-specific innovations in cooling systems and warranties. The methodology incorporates data preprocessing, ABSA implementation using the PyABSA framework, and a three-phase Delphi process for expert analysis. This comprehensive analysis provides valuable guidance for product development and marketing strategies in the global laptop industry, emphasizing the importance of market-specific approaches to enhance user satisfaction and maintain competitiveness. The study also acknowledges limitations and suggests directions for future research, including multi-source data analysis and longitudinal studies.","mixed methods study","IEEE Access","1","10.1109/access.2025.3528324","https://consensus.app/papers/global-perspectives-on-laptop-features-a-sentiment-maghsoudi-bakhtiari/ded252e0c0b252e9b34e5a34a11bf886/"
"Enhancing digital readiness and capability in healthcare: a systematic review of interventions, barriers, and facilitators","Interventions enhancing performance expectancy, addressing effort expectancy, improving facilitating conditions, and leveraging social influence are essential for successful digital health adoption among healthcare professionals.","N. Alotaibi, C. Wilson, Marian Traynor",2025,112,"Introduction: The rapid integration of digital technologies in healthcare requires healthcare professionals to be digitally ready and capable. This systematic review aims to identify interventions that improve digital readiness and capability among health professionals and to understand the barriers and facilitators they encounter during this digital transformation.

Methodology: A mixed-methods systematic review was conducted following the Joanna Briggs Institute (JBI) guidelines. We searched five databases CINAHL Plus, MEDLINE, EMBASE, PsychINFO, and Web of Science. The review used the Unified Theory of Acceptance and Use of Technology (UTAUT) framework to investigate factors influencing technology adoption. Studies were selected based on predefined inclusion and exclusion criteria, focusing on health professionals' digital capability in healthcare settings. Quality assessment was performed using the MMAT checklist, and data were analysed and synthesized to extract relevant themes and sub-themes.

Results: Initially, 1140 studies were identified, with 21 meeting the inclusion criteria after screening. These studies, published between 2017 and 2023.The results were categorized into four main themes: Performance Expectancy, Effort Expectancy, Facilitating Conditions, and Social Influence, with two sub-themes. The studies indicated that technology positively impacts job performance, facilitating acceptance among healthcare professionals. Ease of use was crucial for technology acceptance, while complexity and multiple logins were significant barriers. The importance of sufficient training and organizational support was highlighted to enhance digital competency and address technical issues, with inadequate training and infrastructure being major barriers. Social influence, including motivation of healthcare workers and shared decision-making, played a significant role in technology acceptance.

Conclusion: This review highlights critical factors influencing the digital readiness and capability of healthcare professionals. Interventions enhancing performance expectancy, addressing effort expectancy, improving facilitating conditions, and leveraging social influence are essential for successful digital health adoption. Future research should develop comprehensive frameworks to overcome barriers and promote digital health readiness. Integrating specialized training into educational programs is crucial for preparing healthcare professionals to navigate the evolving digital landscape.

© 2025. The Author(s).","systematic review","BMC Health Services Research","1","10.1186/s12913-025-12663-3","https://consensus.app/papers/enhancing-digital-readiness-and-capability-in-healthcare-alotaibi-wilson/9b206867925658839dc449412ea9d1b6/"
"A systematic review of work-related musculoskeletal disorders and risk factors among computer users","The prevalence of work-related musculoskeletal disorders (WMSDs) among computer users is high, with prolonged computer use, repetitive motions, and poor posture being significant risk factors.","Biruk Demissie, Eniyew Tegegne Bayih, Alelign Alemu Demmelash",2024,71,"","systematic review","Heliyon","1","10.1016/j.heliyon.2024.e25075","https://consensus.app/papers/a-systematic-review-of-workrelated-musculoskeletal-demissie-bayih/9fad4522096950d887b1180d97383ecf/"
"Decision Factors for Remote Work Adoption: Advantages, Disadvantages, Driving Forces and Challenges","Remote work adoption offers cost-reduction and flexibility for work-life balance, but faces communication, technical, and management challenges.","R. Ferreira, R. Pereira, I. Bianchi, M. D. da Silva",2021,152,"Facing one of the most challenging pandemics for organizational modus operandi (COVID-19), organizations are struggling for operational and strategic support. The adoption of remote work (RW) is increasing. For economic reasons, competitive advantage, or even as a pandemic response (business continuity plan), RW is a domain worth further investigation. However, the literature lacks insight regarding RW adoption. A design science research methodology was adopted, including a systematic literature review to elicit RW advantages, disadvantages, challenges and driving forces, as well as their relation. To evaluate and demonstrate findings, 129 qualitative interviews were performed with RW professionals. In the end, 57 decision factors were elicited, and 16 relations were validated. The authors concluded that cost-reduction and flexibility to promote work–life balance is the most positive outputs, while communication and technical problems, as well as management issues, are what most concerns professionals. Moreover, positive relations are more recognized among professionals over negative ones.","systematic review","Journal of Open Innovation: Technology, Market, and Complexity","1","10.3390/joitmc7010070","https://consensus.app/papers/decision-factors-for-remote-work-adoption-advantages-ferreira-pereira/219b92e4490d51db89b256586cc43c9d/"
